start_station_name,start_lat,start_lng,end_station_name,end_lat,end_lng,trip_count
Nassau Ave & Russell St,40.72557,-73.94434,Driggs Ave & N 9 St,40.71816969454208,-73.95520135760307,1918
11 Ave & W 41 St,40.76030096,-73.99884222,W 34 St &\tHudson Blvd E,40.75516719072139,-74.00059908628464,1911
University Pl & E 14 St,40.734814,-73.992085,University Pl & E 14 St,40.734814,-73.992085,1911
2 Ave & E 96 St,40.7839636,-73.9471673,E 102 St & 1 Ave,40.7869946,-73.94164802,1910
University Pl & E 14 St,40.734814,-73.992085,Broadway & E 14 St,40.73454567,-73.99074142,1907
Broadway & W 53 St,40.76344058,-73.98268129,W 53 St & 10 Ave,40.76669671,-73.99061728,1907
Vesey Pl & River Terrace,40.7153379,-74.01658354,Vesey Pl & River Terrace,40.7153379,-74.01658354,1905
India St & Manhattan Ave,40.73232194,-73.9550858,Franklin St & Dupont St,40.73564,-73.95866,1905
Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,India St Pier,40.731734785883454,-73.9612390102593,1900
6 Ave & W 33 St,40.74901271,-73.98848395,6 Ave & W 45 St,40.756951,-73.982631,1895
E 40 St & Park Ave,40.750756,-73.978326,E 33 St & 1 Ave,40.74322681432173,-73.97449783980846,1895
Washington St & Gansevoort St,40.739323,-74.008119,Washington St & Gansevoort St,40.739323,-74.008119,1891
1 Ave & E 16 St,40.73221853,-73.98165557,1 Ave & E 18 St,40.73381219196632,-73.98054420948029,1887
Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,1882
W 21 St & 6 Ave,40.74173969,-73.99415556,6 Ave & W 33 St,40.74901271,-73.98848395,1881
1 Ave & E 18 St,40.73381219196632,-73.98054420948029,1 Ave & E 16 St,40.73221853,-73.98165557,1875
West Thames St,40.70834698,-74.01713445,West Thames St,40.70834698,-74.01713445,1871
31 St & Newtown Ave,40.7675487799971,-73.9209334552288,Newtown Ave & 23 St,40.7713615,-73.9246145,1870
Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603,1865
Broadway & Berry St,40.71044554,-73.96525063,N 6 St & Bedford Ave,40.71745169,-73.95850939,1863
Franklin St & Dupont St,40.73564,-73.95866,India St & Manhattan Ave,40.73232194,-73.9550858,1860
Kingsland Ave & Nassau Ave,40.72577,-73.94173,Leonard St & Nassau Ave,40.7239567849954,-73.94984364509583,1851
Broadway & E 14 St,40.73454567,-73.99074142,Washington Pl & Broadway,40.72903917,-73.99404649,1844
Little West St & 1 Pl,40.70569254,-74.01677685,Little West St & 1 Pl,40.70569254,-74.01677685,1843
Clinton St & Cherry St,40.711471394469264,-73.98672603070736,Clinton St & Grand St,40.71559509,-73.9870295,1841
West St & Chambers St,40.71754834,-74.01322069,Washington St & Gansevoort St,40.739323,-74.008119,1840
E 27 St & Park Ave S,40.74275179648995,-73.9847157150507,E 40 St & Park Ave,40.750756,-73.978326,1839
Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,Kent Ave & N 7 St,40.72036775298455,-73.96165072917938,1831
Atlantic Ave & Furman St,40.69165183,-73.9999786,Atlantic Ave & Furman St,40.69165183,-73.9999786,1831
Driggs Ave & Lorimer St,40.72179134,-73.9504154,Driggs Ave & N 9 St,40.71816969454208,-73.95520135760307,1831
E 47 St & Park Ave,40.75510267,-73.97498696,W 41 St & 8 Ave,40.75640548,-73.9900262,1828
8 Ave & W 16 St,40.740983,-74.001702,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,1823
Center Blvd & 51 Ave,40.74336608027021,-73.95960688591003,Center Blvd & 51 Ave,40.74336608027021,-73.95960688591003,1817
E 1 St & 1 Ave,40.72335597960796,-73.98864984512329,E 2 St & Avenue C,40.7208736,-73.98085795,1814
W 29 St & 9 Ave,40.7500727,-73.99839279,9 Ave & W 18 St,40.74317449,-74.00366443,1811
Ave A & E 14 St,40.73031071000895,-73.98047178983688,E 9 St & Avenue C,40.72521311,-73.97768752,1810
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,Willoughby St & Fleet St,40.69196566,-73.9813018,1806
46 Ave & 5 St,40.74731,-73.95451,44 Dr & Jackson Ave,40.74718234,-73.9432635,1805
1 Ave & E 16 St,40.73221853,-73.98165557,E 27 St & 1 Ave,40.739445,-73.976806,1802
W 21 St & 6 Ave,40.74173969,-73.99415556,10 Ave & W 28 St,40.75066386,-74.00176802,1802
